ID	cell_name	defination	description
CL:0000041	mature eosinophil	A Fully Differentiated Eosinophil, A Granular Leukocyte With A Nucleus That Usually Has Two Lobes Connected By One Or More Slender Threads, And Cytoplasm Containing Coarse, Round Granules That Are Uniform In Size And Which Can Be Stained By The Dye Eosin. Cells Are Also Differentiated From Other Granulocytes By A Small Nuclear-To-Cytoplasm Ratio (1:3). This Cell Type Is Cd49D-Positive.	mature eosinophil A Fully Differentiated Eosinophil, A Granular Leukocyte With A Nucleus That Usually Has Two Lobes Connected By One Or More Slender Threads, And Cytoplasm Containing Coarse, Round Granules That Are Uniform In Size And Which Can Be Stained By The Dye Eosin. Cells Are Also Differentiated From Other Granulocytes By A Small Nuclear-To-Cytoplasm Ratio (1:3). This Cell Type Is Cd49D-Positive.
CL:0000042	neutrophilic myeloblast	A Myeloblast Committed To The Neutrophil Lineage. This Cell Type Is Gata-1 Positive, C/Ebpa-Positive, Aml-1-Positive, C-Myb-Positive And Has Low Expression Of Pu.1 Transcription Factor.	neutrophilic myeloblast A Myeloblast Committed To The Neutrophil Lineage. This Cell Type Is Gata-1 Positive, C/Ebpa-Positive, Aml-1-Positive, C-Myb-Positive And Has Low Expression Of Pu.1 Transcription Factor.
CL:0000043	mature basophil	A Fully Differentiated Basophil, A Granular Leukocyte With An Irregularly Shaped, Pale-Staining Nucleus That Is Partially Constricted Into Two Lobes, And With Cytoplasm That Contains Coarse Granules Of Variable Size. Basophils Contain Vasoactive Amines Such As Histamine And Serotonin, Which Are Released On Appropriate Stimulation.	mature basophil A Fully Differentiated Basophil, A Granular Leukocyte With An Irregularly Shaped, Pale-Staining Nucleus That Is Partially Constricted Into Two Lobes, And With Cytoplasm That Contains Coarse Granules Of Variable Size. Basophils Contain Vasoactive Amines Such As Histamine And Serotonin, Which Are Released On Appropriate Stimulation.
CL:0000045	obsolete thymus processed stem cell	Obsolete (Was Not Defined Before Being Made Obsolete).	obsolete thymus processed stem cell Obsolete (Was Not Defined Before Being Made Obsolete).
CL:0000046	obsolete bursa processed stem cell	Obsolete (Was Not Defined Before Being Made Obsolete).	obsolete bursa processed stem cell Obsolete (Was Not Defined Before Being Made Obsolete).
CL:0000047	neuronal stem cell	Neural Stem Cell Is Characterized As An Undifferentiated Cell That Originates From The Neuroectoderm And Has The Capacity Both To Perpetually Self-Renew Without Differentiating And To Generate Multiple Types Of Lineage-Restricted Progenitors.	neuronal stem cell Neural Stem Cell Is Characterized As An Undifferentiated Cell That Originates From The Neuroectoderm And Has The Capacity Both To Perpetually Self-Renew Without Differentiating And To Generate Multiple Types Of Lineage-Restricted Progenitors.
CL:0000048	multi fate stem cell	A Stem Cell That Can Give Rise To Multiple Lineages Of Cells.	multi fate stem cell A Stem Cell That Can Give Rise To Multiple Lineages Of Cells.
CL:0000049	common myeloid progenitor	A Progenitor Cell Committed To Myeloid Lineage, Including The Megakaryocyte And Erythroid Lineages.	common myeloid progenitor A Progenitor Cell Committed To Myeloid Lineage, Including The Megakaryocyte And Erythroid Lineages.
CL:0000050	megakaryocyte-erythroid progenitor cell	A Progenitor Cell Committed To The Megakaryocyte And Erythroid Lineages.	megakaryocyte-erythroid progenitor cell A Progenitor Cell Committed To The Megakaryocyte And Erythroid Lineages.
CL:0000051	common lymphoid progenitor	A Oligopotent Progenitor Cell Committed To The Lymphoid Lineage.	common lymphoid progenitor A Oligopotent Progenitor Cell Committed To The Lymphoid Lineage.
CL:0000052	totipotent stem cell	A Stem Cell From Which All Cells Of The Body Can Form.	totipotent stem cell A Stem Cell From Which All Cells Of The Body Can Form.
CL:0000054	bone matrix secreting cell		bone matrix secreting cell
CL:0000055	non-terminally differentiated cell	A Precursor Cell With A Limited Number Of Potential Fates.	non-terminally differentiated cell A Precursor Cell With A Limited Number Of Potential Fates.
CL:0000056	myoblast	A Cell That Is Commited To Differentiating Into A Muscle Cell.  Embryonic Myoblasts Develop From The Mesoderm. They Undergo Proliferation, Migrate To Their Various Sites, And Then Differentiate Into The Appropriate Form Of Myocytes.  Myoblasts Also Occur As Transient Populations Of Cells In Muscles Undergoing Repair.	myoblast A Cell That Is Commited To Differentiating Into A Muscle Cell.  Embryonic Myoblasts Develop From The Mesoderm. They Undergo Proliferation, Migrate To Their Various Sites, And Then Differentiate Into The Appropriate Form Of Myocytes.  Myoblasts Also Occur As Transient Populations Of Cells In Muscles Undergoing Repair.
CL:0000057	fibroblast	A Connective Tissue Cell Which Secretes An Extracellular Matrix Rich In Collagen And Other Macromolecules. Flattened And Irregular In Outline With Branching Processes; Appear Fusiform Or Spindle-Shaped.	fibroblast A Connective Tissue Cell Which Secretes An Extracellular Matrix Rich In Collagen And Other Macromolecules. Flattened And Irregular In Outline With Branching Processes; Appear Fusiform Or Spindle-Shaped.
CL:0000058	chondroblast	Skeletogenic Cell That Is Typically Non-Terminally Differentiated, Secretes An Avascular, Gag Rich Matrix; Is Not Buried In Cartilage Tissue Matrix, Retains The Ability To Divide, Located Adjacent To Cartilage Tissue (Including Within The Perichondrium), And Develops From Prechondroblast (And Thus Prechondrogenic) Cell.	chondroblast Skeletogenic Cell That Is Typically Non-Terminally Differentiated, Secretes An Avascular, Gag Rich Matrix; Is Not Buried In Cartilage Tissue Matrix, Retains The Ability To Divide, Located Adjacent To Cartilage Tissue (Including Within The Perichondrium), And Develops From Prechondroblast (And Thus Prechondrogenic) Cell.
CL:0000059	ameloblast	Skeletogenic Cell That Produces Enamel, Overlies The Odontogenic Papilla, And Arises From The Differentiation Of A Preameloblast Cell.	ameloblast Skeletogenic Cell That Produces Enamel, Overlies The Odontogenic Papilla, And Arises From The Differentiation Of A Preameloblast Cell.
CL:0000060	odontoblast	Skeletogenic Cell That Secretes Dentine Matrix, Is Derived From The Odontogenic Papilla, And Develops From A Preodontoblast Cell.	odontoblast Skeletogenic Cell That Secretes Dentine Matrix, Is Derived From The Odontogenic Papilla, And Develops From A Preodontoblast Cell.
CL:0000061	cementoblast	Skeletogenic Cell That Produces Cementum (A Bony Substance That Covers The Root Of A Tooth), Is Part Of The Odontogenic Papilla, And Develops From A Precementoblast Cell.	cementoblast Skeletogenic Cell That Produces Cementum (A Bony Substance That Covers The Root Of A Tooth), Is Part Of The Odontogenic Papilla, And Develops From A Precementoblast Cell.
CL:0000062	osteoblast	Skeletogenic Cell That Secretes Osteoid, Is Capable Of Producing Mineralized (Hydroxyapatite) Matrix, Is Located Adjacent To Or Within Osteoid Tissue, And Arises From The Transformation Of A Preosteoblast Cell.	osteoblast Skeletogenic Cell That Secretes Osteoid, Is Capable Of Producing Mineralized (Hydroxyapatite) Matrix, Is Located Adjacent To Or Within Osteoid Tissue, And Arises From The Transformation Of A Preosteoblast Cell.
CL:0000063	obsolete cell by histology	Obsolete: A Classification Of Cells By Their Microscopic Appearance.	obsolete cell by histology Obsolete: A Classification Of Cells By Their Microscopic Appearance.
CL:0000064	ciliated cell	A Cell That Has A Filiform Extrusion Of The Cell Surface.	ciliated cell A Cell That Has A Filiform Extrusion Of The Cell Surface.
CL:0000065	ependymal cell	A Neurectoderm Derived Cell That Lines The Neural Lumen.	ependymal cell A Neurectoderm Derived Cell That Lines The Neural Lumen.
CL:0000066	epithelial cell	A Cell That Is Usually Found In A Two-Dimensional Sheet With A Free Surface. The Cell Has A Cytoskeleton That Allows For Tight Cell To Cell Contact And For Cell Polarity Where Apical Part Is Directed Towards The Lumen And The Basal Part To The Basal Lamina.	epithelial cell A Cell That Is Usually Found In A Two-Dimensional Sheet With A Free Surface. The Cell Has A Cytoskeleton That Allows For Tight Cell To Cell Contact And For Cell Polarity Where Apical Part Is Directed Towards The Lumen And The Basal Part To The Basal Lamina.
CL:0000067	ciliated epithelial cell	An Epithelial Cell That Has A Cilia.	ciliated epithelial cell An Epithelial Cell That Has A Cilia.
CL:0000068	duct epithelial cell		duct epithelial cell
CL:0000069	branched duct epithelial cell		branched duct epithelial cell
CL:0000070	obsolete epithelial cell of gland		obsolete epithelial cell of gland
CL:0000071	blood vessel endothelial cell	An Endothelial Cell That Lines The Vasculature.	blood vessel endothelial cell An Endothelial Cell That Lines The Vasculature.
CL:0000072	non-branched duct epithelial cell		non-branched duct epithelial cell
CL:0000073	barrier epithelial cell		barrier epithelial cell
CL:0000074	obsolete epithem cell	Obsolete. Use Po:0000066 From Plant Ontology Instead. A Cell That Constitutes The Mesophyll Of A Hydathode And Is Located Between The Xylem Endings And The Epidermis. Proposed To Be Involved In The Retrieval Of Solutes From The Xylem Sap.	obsolete epithem cell Obsolete. Use Po:0000066 From Plant Ontology Instead. A Cell That Constitutes The Mesophyll Of A Hydathode And Is Located Between The Xylem Endings And The Epidermis. Proposed To Be Involved In The Retrieval Of Solutes From The Xylem Sap.
CL:0000075	columnar/cuboidal epithelial cell		columnar/cuboidal epithelial cell
CL:0000076	squamous epithelial cell		squamous epithelial cell
CL:0000077	mesothelial cell	A Flattened Epithelial Cell Of Mesenchymal Origin That Lines The Serous Cavity.	mesothelial cell A Flattened Epithelial Cell Of Mesenchymal Origin That Lines The Serous Cavity.
CL:0000078	peridermal cell		peridermal cell
CL:0000079	stratified epithelial cell		stratified epithelial cell
CL:0000080	circulating cell	A Cell Which Moves Among Different Tissues Of The Body, Via Blood, Lymph, Or Other Medium.	circulating cell A Cell Which Moves Among Different Tissues Of The Body, Via Blood, Lymph, Or Other Medium.
CL:0000081	blood cell	A Cell Found Predominately In The Blood.	blood cell A Cell Found Predominately In The Blood.
CL:0000082	epithelial cell of lung		epithelial cell of lung
CL:0000083	epithelial cell of pancreas	An Epithelial Cell Of The Pancreas.	epithelial cell of pancreas An Epithelial Cell Of The Pancreas.
CL:0000084	T cell	A Type Of Lymphocyte Whose Defining Characteristic Is The Expression Of A T Cell Receptor Complex.	T cell A Type Of Lymphocyte Whose Defining Characteristic Is The Expression Of A T Cell Receptor Complex.
CL:0000085	germ line stem cell (sensu Vertebrata)		germ line stem cell (sensu Vertebrata)
CL:0000086	germ line stem cell (sensu Nematoda and Protostomia)		germ line stem cell (sensu Nematoda and Protostomia)
CL:0000087	male germ line stem cell (sensu Nematoda and Protostomia)		male germ line stem cell (sensu Nematoda and Protostomia)
CL:0000088	female germ line stem cell (sensu Nematoda and Protostomia)		female germ line stem cell (sensu Nematoda and Protostomia)
CL:0000089	male germ line stem cell (sensu Vertebrata)		male germ line stem cell (sensu Vertebrata)
CL:0000090	female germ line stem cell (sensu Vertebrata)		female germ line stem cell (sensu Vertebrata)
CL:0000091	Kupffer cell	A Tissue-Resident Macrophage Of The Reticuloendothelial System Found On The Luminal Surface Of The Hepatic Sinusoids Involved In Erythrocyte Clearance. Markers Include F4/80+, Cd11B-Low, Cd68-Positive, Sialoadhesin-Positive, Cd163/Srcr-Positive. Irregular, With Long Processes Including Lamellipodia Extending Into The Sinusoid Lumen, Have Flattened Nucleus With Cytoplasm Containing Characteristic Invaginations Of The Plasma Membrane (Vermiform Bodies); Lie Within The Sinusoid Lumen Attached To The Endothelial Surface; Derived From The Bone Marrow, Form A Major Part Of The Body'S Mononuclear Phagocyte System.	Kupffer cell A Tissue-Resident Macrophage Of The Reticuloendothelial System Found On The Luminal Surface Of The Hepatic Sinusoids Involved In Erythrocyte Clearance. Markers Include F4/80+, Cd11B-Low, Cd68-Positive, Sialoadhesin-Positive, Cd163/Srcr-Positive. Irregular, With Long Processes Including Lamellipodia Extending Into The Sinusoid Lumen, Have Flattened Nucleus With Cytoplasm Containing Characteristic Invaginations Of The Plasma Membrane (Vermiform Bodies); Lie Within The Sinusoid Lumen Attached To The Endothelial Surface; Derived From The Bone Marrow, Form A Major Part Of The Body'S Mononuclear Phagocyte System.
CL:0000092	osteoclast	A Specialized Phagocytic Cell Associated With The Absorption And Removal Of The Mineralized Matrix Of Bone Tissue, Which Typically Differentiates From Monocytes. This Cell Has The Following Markers: Tartrate-Resistant Acid Phosphatase Type 5-Positive, Pu.1-Positive, C-Fos-Positive, Nuclear Factor Nf-Kappa-B P100 Subunit-Positive, Tumor Necrosis Factor Receptor Superfamily Member 11A-Positive And Macrophage Colony-Stimulating Factor 1 Receptor-Positive.	osteoclast A Specialized Phagocytic Cell Associated With The Absorption And Removal Of The Mineralized Matrix Of Bone Tissue, Which Typically Differentiates From Monocytes. This Cell Has The Following Markers: Tartrate-Resistant Acid Phosphatase Type 5-Positive, Pu.1-Positive, C-Fos-Positive, Nuclear Factor Nf-Kappa-B P100 Subunit-Positive, Tumor Necrosis Factor Receptor Superfamily Member 11A-Positive And Macrophage Colony-Stimulating Factor 1 Receptor-Positive.
CL:0000093	obsolete osteochondroclast	Obsolete (Was Not Defined Before Being Made Obsolete).	obsolete osteochondroclast Obsolete (Was Not Defined Before Being Made Obsolete).
CL:0000094	granulocyte	A Leukocyte With Abundant Granules In The Cytoplasm.	granulocyte A Leukocyte With Abundant Granules In The Cytoplasm.
CL:0000095	neuron associated cell		neuron associated cell
CL:0000096	mature neutrophil	A Fully Differentiated Neutrophil, A Granular Leukocyte Having A Nucleus With Three To Five Lobes Connected By Slender Threads, And Cytoplasm Containing Fine Inconspicuous Granules And Stainable By Neutral Dyes. They Are Produced In Bone Marrow At A Rate Of 5E10-10E10/Day And Have A Half-Life Of 6-8 Hours. Neutrophils Are Cd15-Positive, Cd16-Positive, Cd32-Positive, Cd43-Positive, Cd181-Positive, And Cd182-Positive.	mature neutrophil A Fully Differentiated Neutrophil, A Granular Leukocyte Having A Nucleus With Three To Five Lobes Connected By Slender Threads, And Cytoplasm Containing Fine Inconspicuous Granules And Stainable By Neutral Dyes. They Are Produced In Bone Marrow At A Rate Of 5E10-10E10/Day And Have A Half-Life Of 6-8 Hours. Neutrophils Are Cd15-Positive, Cd16-Positive, Cd32-Positive, Cd43-Positive, Cd181-Positive, And Cd182-Positive.
CL:0000097	mast cell	A Cell That Is Found In Almost All Tissues Containing Numerous Basophilic Granules And Capable Of Releasing Large Amounts Of Histamine And Heparin Upon Activation. Progenitors Leave Bone Marrow And Mature In Connective And Mucosal Tissue. Mature Mast Cells Are Found In All Tissues, Except The Bloodstream. Their Phenotype Is Cd117-High, Cd123-Negative, Cd193-Positive, Cd200R3-Positive, And Fceri-High. Stem-Cell Factor (Kit-Ligand; Scf) Is The Main Controlling Signal Of Their Survival And Development.	mast cell A Cell That Is Found In Almost All Tissues Containing Numerous Basophilic Granules And Capable Of Releasing Large Amounts Of Histamine And Heparin Upon Activation. Progenitors Leave Bone Marrow And Mature In Connective And Mucosal Tissue. Mature Mast Cells Are Found In All Tissues, Except The Bloodstream. Their Phenotype Is Cd117-High, Cd123-Negative, Cd193-Positive, Cd200R3-Positive, And Fceri-High. Stem-Cell Factor (Kit-Ligand; Scf) Is The Main Controlling Signal Of Their Survival And Development.
CL:0000098	sensory epithelial cell	A Specialized Epithelial Cell Involved In Sensory Perception. Restricted To Special Sense Organs Of The Olfactory, Gustatory, And Vestibulocochlear Receptor Systems; Contain Sensory Cells Surrounded By Supportive, Non-Receptive Cells.	sensory epithelial cell A Specialized Epithelial Cell Involved In Sensory Perception. Restricted To Special Sense Organs Of The Olfactory, Gustatory, And Vestibulocochlear Receptor Systems; Contain Sensory Cells Surrounded By Supportive, Non-Receptive Cells.
CL:0000099	interneuron	Most Generally Any Neuron Which Is Not Motor Or Sensory. Interneurons May Also Refer To Neurons Whose Axons Remain Within A Particular Brain Region As Contrasted With Projection Neurons Which Have Axons Projecting To Other Brain Regions.	interneuron Most Generally Any Neuron Which Is Not Motor Or Sensory. Interneurons May Also Refer To Neurons Whose Axons Remain Within A Particular Brain Region As Contrasted With Projection Neurons Which Have Axons Projecting To Other Brain Regions.
CL:0000100	motor neuron	An Efferent Neuron That Passes From The Central Nervous System Or A Ganglion Toward Or To A Muscle And Conducts An Impulse That Causes Or Inhibits Movement.	motor neuron An Efferent Neuron That Passes From The Central Nervous System Or A Ganglion Toward Or To A Muscle And Conducts An Impulse That Causes Or Inhibits Movement.
CL:0000101	sensory neuron	Any Neuron Having A Sensory Function; An Afferent Neuron Conveying Sensory Impulses.	sensory neuron Any Neuron Having A Sensory Function; An Afferent Neuron Conveying Sensory Impulses.
CL:0000102	polymodal neuron		polymodal neuron
CL:0000103	bipolar neuron	A Type Of Interneuron That Has Two Neurites, Usually An Axon And A Dendrite, Extending From Opposite Poles Of An Ovoid Cell Body.	bipolar neuron A Type Of Interneuron That Has Two Neurites, Usually An Axon And A Dendrite, Extending From Opposite Poles Of An Ovoid Cell Body.
CL:0000104	multipolar neuron	Neuron With An Axon And Two Or More Dendrites.	multipolar neuron Neuron With An Axon And Two Or More Dendrites.
CL:0000105	pseudounipolar neuron	Neuron With Two Neurites That Are Fused Grossly When They Protrude From The Soma And Bifurcate A Short Distance From The Soma.	pseudounipolar neuron Neuron With Two Neurites That Are Fused Grossly When They Protrude From The Soma And Bifurcate A Short Distance From The Soma.
CL:0000106	unipolar neuron	Neuron With One Neurite That Extends From The Cell Body.	unipolar neuron Neuron With One Neurite That Extends From The Cell Body.
CL:0000107	autonomic neuron	A Neruon Whose Cell Body Is Within An Autonomic Ganglion.	autonomic neuron A Neruon Whose Cell Body Is Within An Autonomic Ganglion.
CL:0000108	cholinergic neuron	A Neuron That Uses Acetylcholine As A Vesicular Neurotransmitter.	cholinergic neuron A Neuron That Uses Acetylcholine As A Vesicular Neurotransmitter.
CL:0000109	adrenergic neuron		adrenergic neuron
CL:0000110	peptidergic neuron		peptidergic neuron
CL:0000111	peripheral neuron	A Neuron That Is Part Of Nerve Found Outside The Central Nervous System.	peripheral neuron A Neuron That Is Part Of Nerve Found Outside The Central Nervous System.
CL:0000112	columnar neuron		columnar neuron
CL:0000113	mononuclear phagocyte	A Vertebrate Phagocyte With A Single Nucleus.	mononuclear phagocyte A Vertebrate Phagocyte With A Single Nucleus.
CL:0000114	surface ectodermal cell		surface ectodermal cell
CL:0000115	endothelial cell	An Endothelial Cell Comprises The Outermost Layer Or Lining Of Anatomical Structures And Can Be Squamous Or Cuboidal. In Mammals, Endothelial Cell Has Vimentin Filaments And Is Derived From The Mesoderm.	endothelial cell An Endothelial Cell Comprises The Outermost Layer Or Lining Of Anatomical Structures And Can Be Squamous Or Cuboidal. In Mammals, Endothelial Cell Has Vimentin Filaments And Is Derived From The Mesoderm.
CL:0000116	pioneer neuron	Pioneer Neurons Establish A Pathway In The Developing Central Nervous System And Then Undergo Programmed Cell Death Once The Adult Axons, Which Follow Them, Have Made Connections With The Target Site. Thus, They Are A Transient Cell Type Involved In Axon Guidance.	pioneer neuron Pioneer Neurons Establish A Pathway In The Developing Central Nervous System And Then Undergo Programmed Cell Death Once The Adult Axons, Which Follow Them, Have Made Connections With The Target Site. Thus, They Are A Transient Cell Type Involved In Axon Guidance.
CL:0000117	CNS neuron (sensu Vertebrata)		CNS neuron (sensu Vertebrata)
CL:0000118	basket cell		basket cell
